Latitude, Longitude, Depth (km), Magnitude, Origin-time (UTC)
-43.1339, 171.032, 0.00195312, 0.0, 2008-12-05T03:31:59.683800Z
-43.1294, 170.98, 17.0199, 0.0, 2008-12-05T07:20:15.145800Z
-42.8333, 171.294, 1.40632, 0.0, 2008-12-05T14:41:00.778263Z
-43.2149, 170.806, 14.0007, 0.0, 2008-12-05T18:58:01.778170Z
-42.7591, 171.287, 10.6848, 0.0, 2008-12-05T20:29:22.951300Z
-42.7945, 171.27, 1.2959, 0.0, 2008-12-05T21:36:07.232900Z
-42.7897, 171.286, 4.99831, 0.0, 2008-12-05T22:49:56.886200Z
-42.7958, 171.268, 1.51673, 0.0, 2008-12-06T05:28:54.280100Z
-42.7957, 171.271, 1.68581, 0.0, 2008-12-06T09:43:42.228600Z
-42.7791, 171.29, 7.7863299999999995, 0.0, 2008-12-06T11:30:32.647900Z
-42.7959, 171.268, 1.5615899999999998, 0.0, 2008-12-06T14:44:18.237400Z
-42.777, 171.309, 7.99336, 0.0, 2008-12-07T09:01:41.777800Z
-42.7974, 171.279, 0.105469, 0.0, 2008-12-07T21:10:09.659790Z
-42.7902, 171.28, 4.70846, 0.0, 2008-12-07T21:13:24.564700Z
-43.3703, 170.8, 11.9994, 0.0, 2008-12-08T03:46:19.142200Z
-43.3267, 170.819, 10.1154, 0.0, 2008-12-08T03:47:18.370100Z
-42.7958, 171.27, 1.68581, 0.0, 2008-12-08T05:39:43.848900Z
-42.7902, 171.297, 4.99831, 0.0, 2008-12-08T05:44:49.389300Z
-42.7952, 171.266, 1.2821, 0.0, 2008-12-08T15:36:02.960750Z
-43.0977, 171.021, 2.77962, 0.0, 2008-12-08T15:39:20.991500Z
-43.4434, 170.328, 12.009799999999998, 0.0, 2008-12-08T17:34:19.664200Z
-43.2218, 170.801, 8.00026, 0.0, 2008-12-08T21:12:19.219200Z
-43.2334, 171.012, 14.3941, 0.0, 2008-12-09T02:39:03.552230Z
-43.0821, 170.881, 14.9945, 0.0, 2008-12-09T18:59:59.647200Z
-42.7934, 171.277, 1.9998, 0.0, 2008-12-09T21:17:34.402300Z
-43.2654, 171.003, 16.3367, 0.0, 2008-12-09T22:27:32.196100Z
-43.5683, 170.215, 6.53379, 0.0, 2008-12-09T22:34:39.280200Z
-42.7867, 171.294, 4.99831, 0.0, 2008-12-10T00:41:15.797600Z
-43.229, 171.015, 14.9255, 0.0, 2008-12-10T06:05:27.121800Z
-43.2114, 171.034, 15.0014, 0.0, 2008-12-10T07:13:31.371400Z
-42.7929, 171.265, 1.18548, 0.0, 2008-12-10T11:35:19.962900Z
-42.7954, 171.271, 1.2959, 0.0, 2008-12-10T11:41:03.917920Z
-43.242, 171.011, 15.9951, 0.0, 2008-12-10T14:02:46.944700Z
-43.0918, 170.949, 17.547900000000002, 0.0, 2008-12-11T01:20:12.569700Z
-42.7628, 171.305, 12.5791, 0.0, 2008-12-11T01:35:20.892600Z
-42.8016, 171.257, 1.00951, 0.0, 2008-12-11T01:37:18.201400Z
-42.7943, 171.271, 1.32005, 0.0, 2008-12-11T01:43:44.717600Z
-42.7876, 171.299, 5.15703, 0.0, 2008-12-11T01:43:55.909500Z
-42.7691, 171.292, 7.99336, 0.0, 2008-12-11T02:33:48.822500Z
-42.7665, 171.294, 8.179689999999999, 0.0, 2008-12-11T04:18:22.030900Z
-42.7942, 171.275, 1.2821, 0.0, 2008-12-11T05:59:29.132300Z
-42.7973, 171.299, 3.55599, 0.0, 2008-12-11T08:03:11.558300Z
-43.1192, 170.886, 13.9904, 0.0, 2008-12-12T09:49:03.030780Z
